City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,anna regina,7.2644,-58.5077,26.3,88,15,3.53,GY,1700121559
166,labytnangi,66.6572,66.4183,-17.17,91,8,2.59,RU,1700121559
167,saint-philippe,-21.3585,55.7679,28.95,75,100,2.99,RE,1700121560
168,urengoy,65.9667,78.3667,-11.15,95,47,4.06,RU,1700121560
169,nantucket,41.2835,-70.0995,11.12,82,20,9.26,US,1700121561
170,ust-nera,64.5667,143.2,-23.91,99,91,3.15,RU,1700121561
171,tshikapa,-6.4167,20.8,21.88,99,100,1.19,CD,1700121561
172,kudat,6.8837,116.8477,26.96,83,40,5.14,MY,1700121349
173,antonio enes,-16.2325,39.9086,27.97,49,65,5.7,MZ,1700121562
174,lebu,-37.6167,-73.65,9.95,91,65,1.18,CL,1700121562
175,ribeira grande,38.5167,-28.7,21.22,94,75,8.49,PT,1700121562
176,minas novas,-17.2186,-42.5903,20.25,65,2,0.75,BR,1700121562
177,sorsk,54.0033,90.2467,-0.79,86,100,2.67,RU,1700121563
178,ballina,-28.8667,153.5667,24.31,80,75,1.37,AU,1700121563
179,antalaha,-14.9003,50.2788,28.73,59,100,4.49,MG,1700121563
180,caluula,11.9661,50.7569,28.88,75,80,7.63,SO,1700121564
181,klyuchi,52.2667,79.1667,8.93,40,100,7.88,RU,1700121564
182,qashyr,53.0675,76.1036,7.85,49,100,6.92,KZ,1700121565
183,katsuura,35.1333,140.3,16.36,61,100,4.03,JP,1700121565
184,flin flon,54.7682,-101.865,-7.5,87,78,4.68,CA,1700121565
185,altai,46.3722,96.2583,-1.94,54,0,1.16,MN,1700121565
186,vernon,50.2581,-119.2691,0.74,96,88,0.51,CA,1700121566
187,mata-utu,-13.2816,-176.1745,28.81,76,47,2.39,WF,1700121566
188,phibun mangsahan,15.2447,105.2291,30.99,61,86,9.41,TH,1700121566
189,ulladulla,-35.35,150.4667,18.2,89,100,4.12,AU,1700121567
190,port lincoln,-34.7333,135.8667,15.89,67,0,8.14,AU,1700121567
191,fortuna,40.5982,-124.1573,13.29,94,100,2.68,US,1700121567
192,lucas,41.6501,-83.6666,6.75,68,0,1.54,US,1700121568
193,wailua homesteads,22.0669,-159.378,23.44,77,20,8.75,US,1700121568
194,fortaleza,-3.7227,-38.5247,27.34,78,40,4.63,BR,1700121532
195,thunder bay,48.4001,-89.3168,0.99,75,100,1.54,CA,1700121568
196,akureyri,65.6835,-18.0878,-3.04,93,20,1.54,IS,1700121569
197,colonia,50.9333,6.95,8.81,86,0,2.06,DE,1700121346
198,fort bragg,35.139,-79.006,11.39,81,100,2.06,US,1700121569
199,noumea,-22.2763,166.4572,22.99,82,76,3.96,NC,1700120981
200,kingston,17.997,-76.7936,28.53,74,20,6.17,JM,1700121210
201,constantia,44.1833,28.65,10.39,62,56,5.11,RO,1700121570
202,hami,42.8,93.45,8.54,21,0,2.0,CN,1700121570
203,codrington,-38.2667,141.9667,12.97,59,81,6.35,AU,1700121571
204,morehead city,34.7229,-76.726,13.0,94,0,2.57,US,1700121486
205,mexico,15.0646,120.7198,33.84,58,8,4.31,PH,1700121378
206,conception bay south,47.4999,-52.9981,0.97,82,90,5.21,CA,1700121571
207,poso,-1.3959,120.7524,29.32,70,100,1.37,ID,1700121571
208,ituiutaba,-18.9689,-49.465,23.94,48,4,1.41,BR,1700121422
209,tineo,43.3376,-6.4145,13.37,95,97,1.73,ES,1700121572
210,sao jose da coroa grande,-8.8978,-35.1478,24.62,82,17,3.27,BR,1700121572
211,karratha,-20.7377,116.8463,30.33,38,0,9.34,AU,1700121573
212,campo gallo,-26.5833,-62.85,21.38,93,88,2.09,AR,1700121573
213,sorong,-0.8833,131.25,30.18,70,3,5.61,ID,1700121573
214,klaksvik,62.2266,-6.589,3.51,60,84,4.62,FO,1700121574
215,adrar,20.5022,-10.0711,20.3,21,81,4.71,MR,1700121574
216,santa terezinha,-29.9002,-50.0904,21.18,98,100,2.04,BR,1700121574
217,hirara,24.8,125.2833,25.15,61,75,5.66,JP,1700121574
218,palia kalan,28.45,80.5833,28.38,36,0,0.3,IN,1700121575
219,arenapolis,-14.4503,-56.8461,25.37,43,3,1.36,BR,1700121575
220,kapa'a,22.0752,-159.319,24.18,77,20,8.75,US,1700121575
221,novodvinsk,64.4165,40.8122,-5.68,84,6,3.23,RU,1700121576
222,vorkuta,67.5,64.0,-14.81,96,100,5.26,RU,1700121576
